,Author ID,Paper_ID,Author_x,Affiliation,Affiliation Type,Author Last Name,Year,DOI,Author_y,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper
1402,37355451700,745283,enrico puppo,"Istituto per la Matematica Applicata, Consiglio Nationale delle Ricerche, Genoa, Italy",Private Corporation,puppo,1998.0,10.1109/VISUAL.1998.745283,enrico puppo,3.0,Last,11.0,2.0
1403,37369233200,745286,marek teichmann,"Laboratory for Computer Science, Massachusetts Institute of Technology, USA",Academic Institution,teichmann,1998.0,10.1109/VISUAL.1998.745286,marek teichmann,1.0,First,5.0,1.0
1404,37347604500,745286,michael v capps,"Laboratory for Computer Science, Massachusetts Institute of Technology, USA",Academic Institution,capps,1998.0,10.1109/VISUAL.1998.745286,michael v. capps,2.0,Last,3.0,1.0
1405,37265783400,745285,paolo cignoni,"Istituto di Elaborazione dell'Informazione, Consiglio Nationale delle Ricerche, Italy",Private Corporation,cignoni,1998.0,10.1109/VISUAL.1998.745285,paolo cignoni,1.0,First,6.0,1.0
1406,37371973400,745285,claudio montani,"Istituto di Elaborazione dell'Informazione, Consiglio Nationale delle Ricerche, Italy",Private Corporation,montani,1998.0,10.1109/VISUAL.1998.745285,claudio montani,2.0,Middle,15.0,2.0
1407,37333160000,745285,claudio rocchini,"Istituto di Elaborazione dell'Informazione, Consiglio Nationale delle Ricerche, Italy",Private Corporation,rocchini,1998.0,10.1109/VISUAL.1998.745285,claudio rocchini,4.0,Last,1.0,1.0
1408,37270887900,745285,roberto scopigno,"Istituto di Elaborazione dell'Informazione, Consiglio Nationale delle Ricerche, Italy",Private Corporation,scopigno,1998.0,10.1109/VISUAL.1998.745285,roberto scopigno,3.0,Middle,10.0,2.0
1409,37282899200,745284,chandrajit l. bajaj,"Department of Computer Sciences and TICAM, University of Technology, Austin, TX, USA",Academic Institution,bajaj,1998.0,10.1109/VISUAL.1998.745284,chandrajit l. bajaj,1.0,First,14.0,3.0
1410,37284312600,745284,valerio pascucci,"Department of Computer Sciences and TICAM, University of Technology, Austin, TX, USA",Academic Institution,pascucci,1998.0,10.1109/VISUAL.1998.745284,valerio pascucci,2.0,Middle,6.0,2.0
1411,37355637500,745284,daniel r. schikore,"Lawrence Livermore National Laboratory, Center for Applied Scientific Computing, Livermore, CA, USA",Private Corporation,schikore,1998.0,10.1109/VISUAL.1998.745284,daniel schikore,3.0,Last,6.0,2.0
1412,37368609100,745287,g.-p. bonneau,"LMC-CNRS, Grenoble, France",Private Corporation,bonneau,1998.0,10.1109/VISUAL.1998.745287,georges-pierre bonneau,1.0,First,8.0,2.0
1413,37371998500,745287,alexandre gerussi,"LMC-CNRS, France",Private Corporation,gerussi,1998.0,10.1109/VISUAL.1998.745287,alexandre gerussi,2.0,Last,1.0,1.0
1414,37373380100,745289,chris henze,"M/S T27A-1, NASA Ames Research Center, Moffett Field, CA, USA",Private Corporation,henze,1998.0,10.1109/VISUAL.1998.745289,chris henze,1.0,First,1.0,1.0
1415,37274132700,745288,deborah silver,"Department of Electrical and Computer Engineering and CAIP Center, Rutgers University, Piscataway, NJ, USA",Academic Institution,silver,,,,,,,
