Top VISPub Authors,Year,Supervisee,Reference
cláudio t. silva,2003,wagner correa,"https://scholar.google.com/scholar?q=Wagner+Correa++%22cl%C3%A1udio+t.+silva%22&hl=en&as_sdt=0,22"
daniel a. keim,2021,eren cakmak,https://www.vis.uni-konstanz.de/mitglieder/cakmak/
daniel a. keim,2021,mennatallah el-assady,https://www.vis.uni-konstanz.de/mitglieder/el-assady/
daniel a. keim,2021,daniel seebacher,https://www.vis.uni-konstanz.de/mitglieder/seebacher/
daniel a. keim,2021,manuel stein,https://www.vis.uni-konstanz.de/mitglieder/stein/
daniel a. keim,2021,rita sevastjanova,https://www.vis.uni-konstanz.de/mitglieder/sevastjanova/
daniel a. keim,2021,udo schlegel,https://www.vis.uni-konstanz.de/mitglieder/schlegel/
daniel a. keim,2020,matthias miller,https://www.vis.uni-konstanz.de/mitglieder/miller/
daniel a. keim,2019,thilo spinner,https://www.vis.uni-konstanz.de/mitglieder/spinner/
daniel a. keim,2021,frederik l. dennig,https://www.vis.uni-konstanz.de/mitglieder/dennig/
daniel a. keim,2021,maximilian t. fischer,https://www.vis.uni-konstanz.de/mitglieder/maxfischer/
daniel a. keim,2021,yannick metz,https://www.vis.uni-konstanz.de/mitglieder/metz/
daniel a. keim,2022,julius rauscher,https://www.vis.uni-konstanz.de/mitglieder/rauscher/
daniel a. keim,2022,lucas joos,https://www.vis.uni-konstanz.de/mitglieder/joos/
daniel a. keim,2018,raphael buchmüller,https://www.vis.uni-konstanz.de/mitglieder/rbuchmueller/
daniel a. keim,2021,juri buchmüller,https://www.vis.uni-konstanz.de/mitglieder/buchmueller/
daniel a. keim,2020,wolfgang jentner,https://www.vis.uni-konstanz.de/mitglieder/jentner/
daniel a. keim,2021,fabian sperrle,https://www.vis.uni-konstanz.de/mitglieder/sperrle/
daniel a. keim,2021,bruno schneider,https://www.vis.uni-konstanz.de/mitglieder/schneider/
daniel a. keim,2020,hanna hauptmann (schäfer),https://www.vis.uni-konstanz.de/mitglieder/hauptmann/
daniel a. keim,2019,alexandra diehl,https://www.vis.uni-konstanz.de/mitglieder/diehl/
